Job Title,Company Name,Location,Job Skill,Date,Link
Odoo Developer and Consultant,Maastrak -,"Jeddah, Saudi Arabia",Full TimeExperienced · 3 - 5 Yrs of Exp · Business Development · IT/Software Development · Business Development · Information Technology (IT) · English · Computer Science · Communication skills,11 days ago,https://wuzzuf.net/jobs/p/lyNu3gNyp5JS-Odoo-Developer-and-Consultant-Maastrak-Jeddah-Saudi-Arabia?o=29&l=sp&t=sj&a=None|search-v3|hpb
Banking Team Leader - Call Center / Immediate Start,Raya Customer Experience -,"6th of October, Giza, Egypt",Full TimeManager · 1+ Yrs of Exp · Customer Service/Support · Operations/Management · Communication · sales skills · Selling · Experience · Sales · Telesales · English · Sales Target,20 days ago,https://wuzzuf.net/jobs/p/IFZbDt5yEcfp-Banking-Team-Leader---Call-Center-Immediate-Start-Raya-Customer-Experience-Giza-Egypt?o=30&l=sp&t=sj&a=None|search-v3|hpb
HVAC Technical Sales Engineer,MOSCAR Business Solutions -,"New Cairo, Cairo, Egypt",Full TimeExperienced · 2 - 3 Yrs of Exp · Sales/Retail · Engineering - Other · HVAC · Technical Engineer · Engineering · Communication · technical · sales skills · Sales,12 days ago,https://wuzzuf.net/jobs/p/oudbDS9Kvz9e-HVAC-Technical-Sales-Engineer-MOSCAR-Business-Solutions-Cairo-Egypt?o=31&l=sp&t=sj&a=None|search-v3|hpb
Software Quality Engineer,siParadigm Egypt -,"Sheraton, Cairo, Egypt",Full TimeExperienced · 2+ Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Software Development · Information Technology (IT) · Computer Science · Jira · Quality · Quality Assurance · API Testing,12 days ago,https://wuzzuf.net/jobs/p/7E3vFEEUdrXW-Software-Quality-Engineer-siParadigm-Egypt-Cairo-Egypt?o=32&l=sp&t=sj&a=None|search-v3|hpb
Senior back-end Developer (Java) on site,ZE LOGIC -,"Dokki, Giza, Egypt",Full TimeExperienced · 3 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · JavaScript · Java · Software · Software Development · Software Design · Design Patterns · Design · SQL,13 days ago,https://wuzzuf.net/jobs/p/m0KxLv7EFUJ4-Senior-back-end-Developer-Java-on-site-ZE-LOGIC-Giza-Egypt?o=33&l=sp&t=sj&a=None|search-v3|hpb
QC manager (Toshka),AlGammal Contracting -,"Aswan, Aswan, Egypt",Full TimeManager · 10 - 15 Yrs of Exp · males_only · Engineering - Construction/Civil/Architecture · Quality · Engineering - Mechanical/Electrical · QC · Quality Control · Electrical Engineering · quality · Management · Engineering · Software,15 days ago,https://wuzzuf.net/jobs/p/JxGzap02Kxc2-QC-manager-Toshka-AlGammal-Contracting-Aswan-Egypt?o=34&l=sp&t=sj&a=None|search-v3|hpb
Trade Specialist (Clinker and cement sector),Baradah for Construction -,"Cairo, Egypt",Full TimeSenior Management · 5 - 7 Yrs of Exp · Logistics/Supply Chain · Logistics · International Trading · Supply Chain · Shipping · business,14 days ago,https://wuzzuf.net/jobs/p/hq0i8GlB3ZfG-Trade-Specialist-Clinker-and-cement-sector-Baradah-for-Construction-Cairo-Egypt?o=35&l=sp&t=sj&a=None|search-v3|hpb
Guest Relations Executive (French & English),OceanAir Travels -,"Cairo, Egypt",Full TimeEntry Level · 1+ Yrs of Exp · Customer Service/Support · Hospitality/Hotels/Food Services · Tourism/Travel · Customer Service · Communication Skills · French · Vacancies · Tourism · Travel · English,14 days ago,https://wuzzuf.net/jobs/p/JMig9G5FprxG-Guest-Relations-Executive-French-English-OceanAir-Travels-Cairo-Egypt?o=36&l=sp&t=sj&a=None|search-v3|hpb
Guest Relations Executive (Italian & English),OceanAir Travels -,"Cairo, Egypt",Full TimeEntry Level · 1+ Yrs of Exp · Customer Service/Support · Hospitality/Hotels/Food Services · Tourism/Travel · Communication skills · Customer Service · English · Italian · tourism · guest relations · travel,17 days ago,https://wuzzuf.net/jobs/p/FWto2vj6NO7c-Guest-Relations-Executive-Italian-English-OceanAir-Travels-Cairo-Egypt?o=37&l=sp&t=sj&a=None|search-v3|hpb
Sales Engineer,Simplex -,"Nasr City, Cairo, Egypt",Full TimeEntry Level · 1 - 5 Yrs of Exp · males_only · Sales/Retail · Engineering - Mechanical/Electrical · Engineering · Manufacturing · Mechanical · Sales · sales skills · Sales Target · Mechatronics · English,17 days ago,https://wuzzuf.net/jobs/p/0uC040a3y5Tx-Sales-Engineer-Simplex-Cairo-Egypt?o=38&l=sp&t=sj&a=None|search-v3|hpb
